"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"126";2;5;7;9;10;13;14;17;19;21;22
"127";2;5;7;9;11;11;11;11;11;11;11
"128";2;5;7;9;10;13;14;17;19;21;23
"129";2;5;7;9;11;11;11;11;11;11;11
"130";2;5;7;9;10;13;14;17;19;21;22
"131";2;5;7;9;11;11;11;11;11;11;11
"132";2;5;7;9;10;13;14;17;19;21;22
"133";2;5;7;9;10;13;14;17;19;21;22
"134";2;5;7;9;11;11;11;11;11;11;11
"135";2;5;7;9;11;11;11;11;11;11;11
"136";2;5;7;9;11;11;11;11;11;11;11
"137";2;5;7;9;11;11;11;11;11;11;11
"138";2;5;7;9;10;13;14;17;19;21;23
"139";2;5;7;9;11;11;11;11;11;11;11
"140";2;5;7;9;10;13;14;17;19;21;23
"141";2;5;7;9;10;13;14;17;19;21;23
"142";2;5;7;9;10;13;14;17;19;21;22
"143";2;5;7;9;10;13;14;17;19;21;22
"144";2;5;7;9;10;13;14;17;19;21;22
"145";2;5;7;9;10;13;14;17;19;21;23
"146";2;5;7;9;10;13;14;17;19;21;22
"147";2;5;7;9;11;11;11;11;11;11;11
"148";2;5;7;9;11;11;11;11;11;11;11
"149";2;5;7;9;11;11;11;11;11;11;11
"150";2;5;7;9;10;13;14;17;19;21;23
"151";2;5;7;9;10;13;14;17;19;21;23
"152";2;5;7;9;10;13;14;17;19;21;23
"153";2;5;7;9;10;13;14;17;19;21;22
"154";2;5;7;9;11;11;11;11;11;11;11
"155";2;5;7;9;11;11;11;11;11;11;11
"156";2;5;7;9;11;11;11;11;11;11;11
"157";2;5;7;9;11;11;11;11;11;11;11
"158";2;5;7;9;11;11;11;11;11;11;11
"159";2;5;7;9;10;13;14;17;19;21;23
"160";2;5;7;9;10;13;14;17;19;21;22
"161";2;5;7;9;11;11;11;11;11;11;11
"162";2;5;7;9;11;11;11;11;11;11;11
"163";2;5;7;9;11;11;11;11;11;11;11
"164";2;5;7;9;10;13;14;17;19;21;22
"165";2;5;7;9;11;11;11;11;11;11;11
"166";2;5;7;9;10;13;14;17;19;21;22
"167";2;5;7;9;10;13;14;17;19;21;23
"168";2;5;7;9;11;11;11;11;11;11;11
"169";2;5;7;9;11;11;11;11;11;11;11
"170";2;5;7;9;11;11;11;11;11;11;11
"171";2;5;7;9;11;11;11;11;11;11;11
"172";2;5;7;9;10;13;14;17;19;21;22
"173";2;5;7;9;10;13;14;17;19;21;23
"174";2;5;7;9;11;11;11;11;11;11;11
"175";2;5;7;9;10;13;14;17;19;21;23
"176";2;5;7;9;10;13;14;17;19;21;22
"177";2;5;7;9;10;13;14;17;19;21;22
"178";2;5;7;9;10;13;14;17;19;21;22
"179";2;5;7;9;10;13;14;17;19;21;22
"180";2;5;7;9;11;11;11;11;11;11;11
"181";2;5;7;9;10;13;14;17;19;21;22
"182";2;5;7;9;10;13;14;17;19;21;22
"183";2;5;7;9;10;13;14;17;19;21;23
"184";2;5;7;9;10;13;14;17;19;21;22
"185";2;5;7;9;10;13;14;17;19;21;23
"186";2;5;7;9;10;13;14;17;19;21;22
"187";2;5;7;9;10;13;14;17;19;21;23
"188";2;5;7;9;11;11;11;11;11;11;11
"189";2;5;7;9;10;13;14;17;19;21;22
"190";2;5;7;9;10;13;14;17;19;21;23
"191";2;5;7;9;11;11;11;11;11;11;11
"192";2;5;7;9;10;13;14;17;19;21;22
"193";2;5;7;9;10;13;14;17;19;21;23
"194";2;5;7;9;10;13;14;17;19;21;22
"195";2;5;7;9;10;13;14;17;19;21;23
"196";2;5;7;9;10;13;14;17;19;21;22
"197";2;5;7;9;10;13;14;17;19;21;22
"198";2;5;7;9;10;13;14;17;19;21;23
"199";2;5;7;9;10;13;14;17;19;21;23
"200";2;5;7;9;10;13;14;17;19;21;22
"201";2;5;7;9;10;13;14;17;19;21;22
"202";2;5;7;9;10;13;14;17;19;21;22
"203";2;5;7;9;10;13;14;17;19;21;23
"204";2;5;7;9;11;11;11;11;11;11;11
"205";2;5;7;9;10;13;14;17;19;21;22
"206";2;5;7;9;11;11;11;11;11;11;11
"207";2;5;7;9;11;11;11;11;11;11;11
"208";2;5;7;9;11;11;11;11;11;11;11
"209";2;5;7;9;11;11;11;11;11;11;11
"210";2;5;7;9;10;13;14;17;19;21;23
"211";2;5;7;9;11;11;11;11;11;11;11
"212";2;5;7;9;11;11;11;11;11;11;11
"213";2;5;7;9;11;11;11;11;11;11;11
"214";2;5;7;9;11;11;11;11;11;11;11
"215";2;5;7;9;10;13;14;17;19;21;22
"216";2;5;7;9;11;11;11;11;11;11;11
"217";2;5;7;9;11;11;11;11;11;11;11
"218";2;5;7;9;11;11;11;11;11;11;11
"219";2;5;7;9;10;13;14;17;19;21;22
"220";2;5;7;9;11;11;11;11;11;11;11
"221";2;5;7;9;11;11;11;11;11;11;11
"222";2;5;7;9;11;11;11;11;11;11;11
"223";2;5;7;9;11;11;11;11;11;11;11
"224";2;5;7;9;10;13;14;17;19;21;23
"225";2;5;7;9;11;11;11;11;11;11;11
"226";2;5;7;9;11;11;11;11;11;11;11
"227";2;5;7;9;10;13;14;17;19;21;23
"228";2;5;7;9;11;11;11;11;11;11;11
"229";2;5;7;9;10;13;14;17;19;21;23
"230";2;5;7;9;11;11;11;11;11;11;11
"231";2;5;7;9;10;13;14;17;19;21;22
"232";2;5;7;9;10;13;14;17;19;21;22
"233";2;5;7;9;10;13;14;17;19;21;23
"234";2;5;7;9;10;13;14;17;19;21;22
"235";2;5;7;9;10;13;14;17;19;21;23
"236";2;5;7;9;10;13;14;17;19;21;22
"237";2;5;7;9;10;13;14;17;19;21;22
"238";2;5;7;9;11;11;11;11;11;11;11
"239";2;5;7;9;10;13;14;17;19;21;23
