"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";1,03605849585327;-0,071554749114013;0,997623553115686;-0,068900263198588;0,996475906606991;0,00352409339302389;0,516429131455098;0,00246331020760982;0,481107558337302;0,485433999472844;0,113371152443066
"classe 2";-0,875226140485398;1,30270209191431;-0,557677797336576;0,830057512680793;0,378420572743634;0,62157942725638;0,221198081041949;0,490039418107654;0,288762500850398;0,665445092550407;0,127868993775043
"classe 3";-1,06775799459656;-1,48501312816687;-0,583781972636034;-0,811910468232293;0,410825162356791;0,589174837643205;0,262372787502953;0,507497271684736;0,2301299408123;0,779154583242332;0,13970771356575
