"";"classe 1";"classe 2";"classe 3"
"pharmaceutical";25,164;-12,531;-4,499
"paradox";-14,145;23,77;-0,669
"offend";-23,601;23,77;0,236
"nuke";7,764;-2,648;-2,389
"microwave";23,484;-7,797;-7,449
"mentality";-5,281;1,61;1,834
"meeting";-19,29;1,006;17,053
"magnitude";16,354;-7,896;-3,088
"libertarian";-24,507;-0,704;46,098
"korea";-16,161;-12,113;73,064
"intelligent";13,573;-5,836;-3,088
"impose";-16,161;-2,081;40,178
"flaw";-22,695;-0,048;34,772
"familiar";2,975;-0,54;-1,568
"excuse";-12,329;9,631;0,651
"employer";0,003;0,197;-0,299
"damn";0,987;2,788;-8,94
"daily";-7,647;17,9;-1,695
"corrupt";-8,434;-9,442;45,975
"church";-24,557;18,019;1,65
"buyer";24,08;-7,103;-8,641
"broker";25,676;-11,277;-5,657
"bother";-5,281;0,004;7,061
"berkeley";-0,158;3,743;-2,642
"ben";-9,178;23,77;-2,845
"argentina";-9,178;20,023;-1,568
"apps";9,286;-5,097;-1,374
"appeal";0,193;-0,357;0,016
"anytime";-0,401;-5,836;11,362
"advertise";0,195;0,197;-1,01
"1980s";0,394;-0,54;0,003
"10x";21,918;-8,618;-5,657
"victim";-20,181;-0,54;37,608
"valuation";28,967;-9,854;-8,94
"vaccine";0,064;-0,01;-0,036
"tomorrow";0,069;4,286;-6,531
"till";-8,434;21,82;-2,606
"strive";-5,095;14,612;-2,14
"station";4,605;-3,1;-0,41
"socialism";-24,557;-11,277;90,753
"slave";-15,738;1,342;11,948
"sky";10,768;-6,709;-1,188
"semitism";-23,601;-5,465;68,965
"section";-0,109;-0,161;0,683
"rural";-1,091;4,954;-1,374
"roughly";21,628;-9,854;-4,499
"requirement";7,158;-7,103;-0,083
"programmer";22,389;-7,387;-7,151
"paul";-14,433;4,55;4,841
"park";-0,254;5,699;-3,957
"output";28,967;-9,854;-8,94
"orient";0,005;1,006;-1,374
"operational";25,676;-11,277;-5,657
"october";-19,29;-1,071;40,178
"negotiate";-3,198;-9,442;29,757
"navigate";12,627;-3,752;-4,499
"monopoly";11,692;-9,442;-0,534
"maximize";4,169;-7,797;0,362
"lobby";-2,959;-8,207;26,51
"label";0,069;1,61;-2,845
"impression";-17,029;32,228;-1,568
"horse";0,003;-1,553;1,65
"heavily";15,293;-6,317;-3,689
"grand";1,929;1,306;-8,343
"globally";11,692;-2,081;-6,239
"glass";2,023;0,335;-5,367
"fungus";21,294;-6,978;-6,852
"esg";-3,734;-5,465;23,322
"educational";-3,734;8,247;-0,669
"dress";-7,647;30,777;-7,449
"desire";0,069;-5,465;4,941
"crack";-0,22;-9,854;15,686
"counter";-3,734;-2,36;15,686
"conventional";-1,59;-4,732;14,869
"communism";-16,623;-4,016;49,213
"collective";-15,738;-5,538;52,754
"coin";-1,211;-4,372;12,773
"clip";-0,873;-1,307;5,519
"charles";-24,557;58,126;-5,657
"censorship";-14,433;-6,317;52,374
"cancel";-17,029;-3,752;49,019
"busy";-7,702;1,306;4,233
"blend";6,372;-0,267;-5,948
"bear";-3,198;-3,423;17,053
"amendment";-17,51;-11,277;74,143
"adl";-20,007;4,477;9,116
"accident";17,332;-7,103;-4,227
"absorb";21,628;-7,499;-6,531
"violence";-25,467;-3,1;62,454
"thomas";-19,981;49,492;-5,367
"slowly";7,158;-9,442;0,023
"shield";10,326;-6,57;-1,078
"sci";-14,433;35,218;-3,689
"route";0,064;0,53;-1,188
"resistance";1,107;-0,857;-0,06
"rely";0,197;0,035;-0,534
"relation";-17,51;-0,679;34,379
"reflect";-2,006;1,006;0,354
"previously";13,396;-4,732;-3,957
"practical";2,432;0,035;-4,227
"pivot";9,286;-3,423;-2,606
"philanthropy";-15,295;16,373;0,067
"peer";11,253;-2,559;-5,064
"max";-1,762;2,072;0
"louis";-19,077;47,122;-5,078
"lay";0,399;-1,811;0,502
"lane";6,764;-4,016;-0,841
"iranian";-9,169;-2,784;29,219
"input";11,692;-3,423;-4,227
"initial";10,768;-6,709;-1,188
"independence";-19,29;9,247;3,688
"ice";1,163;1,393;-6,554
"hypothesis";-1,352;0,079;1,161
"hyper";7,158;-7,103;-0,083
"harness";20,839;-8,207;-5,367
"hair";0,195;-1,553;0,683
"fleet";27,869;-9,442;-8,641
"faculty";-9,169;21,784;-2,14
"essential";1,06;0,022;-1,914
"entry";20,568;-7,103;-6,239
"dive";-0,109;4,55;-3,689
"database";19,511;-6,709;-5,948
"bug";15,293;-4,372;-5,657
"brazil";-18,174;3,105;9,945
"blind";0,003;1,659;-2,14
"ancient";-9,169;25,905;-3,689
"aid";-0,294;0,022;0,233
"agenda";-10,834;-0,508;21,923
"actively";-3,198;-0,393;7,863
"acknowledge";-16,161;0,035;20,897
"20s";-2,959;7,457;-0,841
"1960s";-0,254;-1,811;4,233
"welfare";-4,465;-8,207;31,533
"voter";-20,885;-1,553;45,957
"violent";-5,592;-10,441;39,836
"underestimate";-1,59;-4,732;14,869
"unbelievable";-0,131;8,492;-7,449
"tuition";-14,433;6,53;3,036
"troop";2,694;-7,797;1,161
"transparent";0,399;-9,03;6,286
"transfer";0,706;-0,357;-0,123
"tower";14,283;-2,98;-6,852
"tennessee";-7,647;0,079;8,885
"tail";0,684;0,75;-3,689
"tackle";4,875;-2,476;-0,841
"swing";-1,963;-1,888;9,945
"surround";-1,211;0,75;0,136
"suck";0,002;1,342;-1,695
"stakeholder";-7,647;-3,665;28,728
"stable";-0,873;-5,926;14,055
"spin";10,768;-6,709;-1,188
"shortage";21,918;-11,277;-3,689
"select";0,684;-0,161;-0,299
"ring";-0,03;0,175;-0,06
"reserve";9,858;-6,317;-1,01
"prefer";-0,664;3,743;-1,276
"pool";16,31;-6,709;-3,957
"poll";-19,077;-0,357;34,056
"outsource";-0,03;-5,152;7,118
"oppress";-20,007;15,9;0,981
"obesity";10,208;-5,351;-1,658
"naval";5,965;-1,074;-3,16
"mill";-4,073;23,775;-8,343
"microsoft";4,447;-2,98;-0,401
"loss";3,295;-5,926;0,233
"junior";-0,022;7,457;-7,747
"jimmy";2,134;0,75;-7,151
"japanese";-6,983;8,867;-0,008
"hydrogen";23,12;-8,769;-6,256
"hotel";-0,581;4,146;-1,695
"helicopter";8,962;-1,307;-5,367
"george";-21,79;1,306;18,539
"genetic";4,875;0,022;-7,747
"fresh";5,567;-0,478;-4,214
"flourish";-0,294;0,022;0,233
"fashion";3,123;0,098;-5,948
"fairly";7,586;-6,317;-0,299
"extend";-0,016;0,53;-0,41
"exponential";16,361;-3,665;-7,449
"existential";-17,51;-4,372;52,374
"essay";-0,873;2,072;-0,203
"equation";9,858;-6,317;-1,01
"emergency";13,396;-11,695;-0,41
"contest";19,762;-5,538;-7,449
"constraint";6,764;-5,926;-0,203
"commitment";-5,095;8,867;-0,299
"cognition";26,772;-9,03;-8,343
"clinic";14,283;-4,016;-5,367
"bipartisan";-25,467;-3,1;62,454
"assessment";4,169;-2,177;-0,682
"artificial";26,772;-11,695;-5,948
"arizona";-0,511;-2,784;7,066
"al";-9,946;-0,01;14,869
"agreement";-9,169;-11,277;52,374
"administrator";-19,077;8,492;4,117
"virginia";-9,169;0;12,773
"update";11,468;-2,476;-5,367
"tunnel";8,667;-6,978;-0,401
"transportation";11,468;-8,207;-0,841
"transformer";29,731;-11,277;-8,045
"supporter";-12,72;2,551;6,275
"substance";0,059;0,022;-0,203
"stadium";-0,34;7,065;-4,789
"split";3,933;-11,277;1,65
"speaker";-17,271;-1,61;39,837
"societal";5,192;-7,387;0,057
"skin";-0,158;8,122;-6,852
"reset";-1,276;-3,642;11,632
"reinvent";4,875;-1,307;-1,914
"react";9,858;-4,372;-2,14
"putin";-19,981;-10,859;78,883
"protest";-8,402;5,292;0,901
"physically";-0,873;-0,508;3,544
"payer";22,389;-7,387;-7,151
"orbit";20,839;-10,859;-3,423
"opt";16,545;-6,57;-4,214
"odd";-10,834;28,232;-3,423
"neighbor";-10,834;1,018;7,929
"missouri";-18,174;7,065;4,762
"meta";2,134;-0,001;-2,899
"journalism";-16,369;6,676;4,019
"ignore";-0,511;0,197;0,136
"hamas";-21,827;-7,387;72,175
"grab";0,002;-2,177;2,413
"governance";-4,465;-5,926;26,51
"fusion";15,319;-10,023;-1,481
"fortune";-14,433;40,41;-5,657
"fellow";-15,738;35,84;-3,16
"ensure";9,858;-2,784;-3,689
"dude";-17,51;25,905;-0,299
"disruption";6,88;-1,093;-3,929
"culturally";-6,983;21,784;-3,689
"circle";-11,653;21,784;-1,01
"charlie";-22,737;-1,074;46,069
"cautious";-12,72;17,9;-0,123
"briefly";-3,503;8,867;-1,01
"beer";-4,465;16,177;-3,423
"assistant";4,169;-0,025;-5,078
"19th";-19,981;3,497;10,774
"warm";7,222;-7,387;-0,06
"virtual";5,192;-0,228;-4,789
"typical";2,023;0,335;-5,367
"technique";20,839;-5,926;-7,747
"sun";1,539;-3,665;0,362
"stat";4,447;-0,125;-4,501
"standpoint";0,059;-8,207;7,929
"sister";-15,738;14,379;0,362
"sake";0,706;-3,665;1,161
"rough";-0,873;9,993;-5,367
"rethink";0,732;-2,98;0,731
"researcher";8,962;-2,476;-3,423
"reliable";17,614;-6,978;-4,501
"recover";3,496;-0,228;-2,899
"radiation";25,323;-9,605;-6,852
"protester";-21,827;-1,888;49,543
"playbook";-10,023;-1,074;23,854
"pipeline";0,055;-0,001;-0,06
"nest";-4,275;14,176;-2,642
"napa";-1,963;16,016;-7,151
"miami";-17,271;3,743;8,061
"marry";-2,202;12,387;-4,214
"marine";0,05;0,507;-1,078
"march";-10,834;1,018;7,929
"manual";11,468;-4,016;-3,423
"luck";-1,762;12,9;-5,367
"lithium";23,12;-8,769;-6,256
"literature";-8,402;19,825;-1,914
"lily";9,364;-1,093;-6,256
"intend";-6,279;1,018;3,544
"highlight";-4,923;12,631;-1,481
"hall";-16,367;25,173;-0,401
"grid";19,108;-6,162;-6,256
"grateful";-12,72;21,807;-0,682
"golf";-3,955;13,858;-2,8
"gender";-17,271;21,906;-0,019
"fbi";-11,87;-10,023;56,615
"expansion";10,521;-7,797;-0,682
"england";-19,077;41,289;-3,16
"employment";-5,592;0,517;4,117
"downtown";-6,874;5,321;0,377
"doom";-4,275;5,723;-0,019
"dome";1,163;-6,57;2,243
"discovery";13,28;-10,441;-0,682
"disadvantage";-4,275;5,723;-0,019
"dirty";6,383;-2,98;-1,276
"custom";8,083;-3,665;-1,695
"creator";-0,873;3,497;-0,841
"correction";-2,723;-4,77;18,726
"coer";-9,22;23,99;-2,899
"clock";0,706;-0,357;-0,123
"cheat";5,567;-4,39;-0,282
"charter";-11,87;12,631;0,057
"cent";14,415;-3,642;-5,958
"branch";-14,855;-3,319;42,942
"borrow";21,294;-6,978;-6,852
"beauty";0,055;4,884;-7,151
"battlefield";20,839;-10,859;-3,423
"barry";-13,669;32,973;-3,361
"athlete";-20,917;48,56;-4,501
"annual";0;0,316;-0,401
"angle";2,023;-4,016;0,233
"analyze";8,667;-2,98;-2,642
"adapt";24,579;-10,859;-5,367
"3d";16,545;-6,57;-4,214
"2000s";-0,294;2,072;-0,841
"vocational";-10,188;29,065;-4,214
"utility";11,301;-4,77;-2,642
"unusual";1,107;-0,001;-1,481
"treasury";10,326;-4,39;-2,389
"sustain";5,192;-5,152;-0,06
"survey";0,05;-0,05;-0,001
"suit";-0,158;3,743;-2,642
"style";-9,22;12,631;-0,06
"spy";-7,644;-6,57;36,754
"specie";-0,985;1,727;-0,06
"span";2,86;-2,98;-0,019
"sir";-7,644;15,9;-1,078
"shopify";19,108;-6,162;-6,256
"register";-5,465;-4,39;25,483
"purely";13,253;-6,57;-2,389
"punish";-14,855;-7,387;56,615
"properly";-4,773;1,819;1,283
"profession";-0,041;-4,39;6,31
"procurement";15,319;-10,023;-1,481
"prioritize";1,539;-1,074;-0,123
"populist";-14,568;0,003;20,021
"pension";-0,041;-9,187;12,436
"partly";-2,723;5,723;-0,401
"partisan";-19,097;-1,093;39,996
"nato";-16,367;-7,516;60,486
"male";-15,738;41,289;-5,078
"mafia";-10,482;-3,275;33,727
"london";-15,738;17,9;0,016
"library";-1,963;7,065;-1,481
"liberalism";-17,277;-0,09;27,685
"lens";-0,03;4,884;-4,789
"latin";-11,87;-0,001;17,014
"jam";21,294;-6,978;-6,852
"iron";5,567;-6,57;-0,001
"institutional";-1,963;7,065;-1,481
"importance";-2,445;1,342;0,362
"household";-0,581;4,146;-1,695
"guidance";16,925;-7,934;-3,361
"fortunate";-2,723;17,832;-6,852
"flat";6,383;-0,658;-4,501
"film";-6,874;10,657;-0,18
"fiction";-9,22;28,579;-4,789
"fdr";-10,482;-7,934;47,596
"exit";0,055;3,105;-4,789
"empathy";-3,651;15,9;-4,214
"donor";-18,174;19,802;0,057
"dimension";-0,158;0,011;0,129
"description";9,364;-4,014;-2,14
"delay";16,545;-9,187;-2,389
"dedicate";-3,858;11,243;-1,695
"conspiracy";-20,007;-9,187;73,936
"conclusion";-0,581;2,551;-0,682
"boss";-4,773;5,321;0,009
"beam";13,253;-9,187;-1,078
"bag";1,107;0,175;-2,899
"backwards";0,414;-0,001;-0,535
"attitude";-11,026;5,723;1,825
"asian";-6,177;14,176;-1,276
"analysis";0,055;3,105;-4,789
"airline";-6,123;-0,286;12,386
"aesthetic";0,192;1,819;-3,929
"20th";-7,647;-0,357;15,464
"yield";14,415;-8,351;-1,896
"undergrad";-0,397;9,313;-6,554
"triple";18,687;-7,387;-4,789
"trajectory";4,447;-4,77;-0,019
"theater";-0,041;-1,344;2,243
"tenure";-0,03;1,727;-1,481
"tactic";9,587;-7,387;-0,535
"script";4,373;-0,452;-3,08
"scarey";-0,055;0,003;0,048
"sandwich";0,857;0,28;-2,8
"row";-4,923;3,105;0,526
"robust";6,383;-4,77;-0,401
"rip";-4,275;2,182;0,731
"retail";19,108;-8,769;-3,929
"resume";22,018;-8,351;-5,958
"reputation";0,414;-0,228;-0,06
"renaissance";-1,519;10,94;-4,501
"remain";-1,519;1,039;0,129
"regular";2,86;-2,98;-0,019
"ramp";15,319;-10,023;-1,481
"quota";-10,188;-2,648;30,862
"pharmacy";16,925;-7,934;-3,361
"pharma";12,301;-4,947;-3,08
"perfectly";6,383;-2,98;-1,276
"paris";-13,669;32,973;-3,361
"openai";17,614;-4,77;-6,852
"neil";-12,221;37,674;-6,256
"negotiation";0;-1,61;1,825
"meter";13,661;-4,145;-4,766
"memphis";-17,271;-1,61;39,837
"luxury";-0,19;-1,093;2,729
"legend";-16,369;46,17;-6,554
"laugh";-5,465;12,387;-1,078
"larry";17,614;-4,77;-6,852
"kong";-17,277;-7,934;63,849
"jake";-17,277;39,009;-3,361
"irish";-20,007;40,031;-2,389
"intuitive";8,667;-4,77;-1,276
"hong";-17,277;-7,934;63,849
"grit";0,05;4,477;-6,554
"gear";0;2,182;-2,642
"exposure";6,383;-0,125;-6,852
"explode";10,208;-3,275;-3,361
"employ";7,222;-0,228;-7,151
"dial";1,721;-0,321;-0,891
"diabetes";19,108;-6,162;-6,256
"de";-2,723;0,011;3,411
"coverage";10,208;-1,706;-5,66
"cook";-1,959;13,901;-5,66
"congressman";-16,369;1,393;12,436
"colleague";-18,174;19,802;0,057
"cia";-18,187;-2,01;43,591
"boston";-10,188;24,239;-2,389
"bone";8,416;-2,01;-3,644
"barely";-1,117;4,477;-1,078
"automation";22,389;-10,023;-4,789
"atom";24,222;-9,187;-6,554
"assess";0,765;-0,321;-0,18
"asia";-4,923;-5,152;25,97
"abraham";-13,096;1,393;9,116
"50s";-6,905;9,647;-0,06
"21st";-6,177;2,182;1,825
"zuckerberg";-1,718;-0,321;4,714
"vice";-4,275;0,316;3,411
"upset";-11,026;-4,77;39,837
"underlie";2,86;-4,77;0,129
"trans";-1,276;-2,01;8,287
"ticket";-1,276;-2,01;8,287
"terrorism";-19,097;-8,769;70,573
"surgery";9,364;-2,324;-3,929
"socialist";-20,917;-4,77;60,837
"snort";6,383;-1,61;-2,642
"session";-2,723;-1,61;11,123
"se";0;1,039;-1,276
"saving";3,734;-9,187;0,981
"ryan";-17,277;27,445;-0,55
"representative";-11,026;-2,98;33,821
"radically";1,721;-4,014;0,377
"pursuit";-17,277;17,908;0,122
"pig";-12,771;36,624;-5,362
"philosophical";-11,026;36,642;-6,852
"pause";-0,549;-1,415;4,709
"patch";15,478;-4,014;-6,256
"panel";2,266;-2,648;-0,001
"norm";-8,533;12,177;-0,098
"motion";11,215;-3,642;-3,644
"messy";-0,19;-8,769;13,902
"merge";3,734;-2,648;-0,282
"marxist";-16,369;-6,57;57,52
"ma";-2,202;-9,187;25,483
"llms";20,201;-6,57;-6,554
"liquidity";24,222;-9,187;-6,554
"kevin";-6,874;7,759;0,009
"iteration";16,545;-6,57;-4,214
"humble";-0,664;8,122;-4,501
"homework";-13,096;34,329;-4,214
"hike";19,108;-6,162;-6,256
"highway";0;2,182;-2,642
"graph";2,86;-0,658;-1,276
"grad";-5,465;19,85;-4,214
"goodness";-0,041;-6,57;9,116
"german";-0,055;0,297;-0,098
"georgia";-5,465;1,393;2,243
"genuinely";6,383;-4,77;-0,401
"fitness";3,059;0,153;-6,256
"fault";-4,102;-2,01;15,544
"escape";-4,773;-0,008;7,237
"embed";14,283;-9,605;-1,276
"embarrass";0,765;-0,321;-0,18
"earnings";10,326;-4,39;-2,389
"density";11,215;-5,756;-1,896
"consultant";6,88;-1,093;-3,929
"concrete";4,021;-5,756;0,048
"coffee";-6,117;15,842;-1,896
"childhood";-6,914;20,25;-3,08
"bus";-0,397;4,477;-2,389
"bike";-0,002;4,52;-5,064
"barrel";1,842;0,501;-5,66
"angel";14,283;-2,98;-6,852
"alien";-7,644;0,507;6,31
"adventure";-7,644;29,065;-6,554
"abundance";-0,282;2,54;-1,202
"worthy";-3,955;-2,559;16,78
"wheel";20,201;-9,187;-4,214
"weakness";0,438;-0,859;0,048
"variable";11,215;-8,351;-0,714
"ups";-6,874;22,101;-3,929
"tutor";-0,397;9,313;-6,554
"trilogy";1,422;0,5;-4,766
"translate";2,266;0,06;-4,214
"testosterone";-0,005;0,805;-0,784
"tariff";-2,84;-1,415;10,834
"tape";0,192;-1,093;0,377
"superpower";-2,489;2,331;0,048
"stress";0,424;0,06;-1,078
"spring";-4,773;-0,008;7,237
"soul";-10,482;4,919;2,077
"song";-8,533;19,99;-1,896
"solid";14,415;-5,756;-3,644
"significantly";16,545;-9,187;-2,389
"seattle";-3,457;2,94;0,122
"resonate";-14,568;24,618;-0,714
"proposal";0;-8,769;10,3
"personalize";4,373;-0,452;-3,08
"payroll";4,814;-0,881;-2,523
"palmer";-12,221;37,674;-6,256
"oversea";0,046;-5,756;5,507
"origin";-0,041;-2,648;4,019
"org";-1,276;8,993;-3,644
"object";4,021;-0,19;-3,644
"neutral";-10,979;0,025;14,168
"motor";15,836;-7,516;-3,08
"misunderstand";1,721;-2,324;0,009
"millionaire";13,356;-5,351;-3,361
"medicare";15,836;-7,516;-3,08
"maximum";-6,123;-4,545;27,565
"jew";-18,187;15,842;0,564
"ironic";-6,874;5,321;0,377
"insurer";19,816;-7,516;-5,362
"impress";-10,188;15,9;-0,282
"hippie";0,041;-0,452;0,238
"height";-0,19;5,321;-3,929
"harvey";14,415;-3,642;-5,958
"germans";-10,482;-3,275;33,727
"garden";-3,651;19,85;-6,554
"financially";3,734;-2,648;-0,282
"expertise";2,266;-0,05;-2,389
"excellent";-8,533;15,842;-0,714
"ethical";-3,054;-4,014;18,042
"electromagnetic";24,222;-9,187;-6,554
"ego";-6,123;10,179;-0,27
"download";1,842;0,042;-3,361
"distance";7,764;-2,648;-2,389
"depression";-0,041;-4,39;6,31
"dependent";6,88;-8,769;0,009
"darpa";15,478;-6,162;-3,929
"crap";-3,651;1,393;0,981
"cow";3,734;-2,648;-0,282
"consult";1,316;0,131;-3,08
"classical";-19,097;32,024;-0,891
"clarity";-7,644;-0,05;12,436
"civilian";-0,055;-5,756;8,287
"circuit";-4,773;-0,008;7,237
"chair";-7,718;-0,644;17,39
"bow";-2,259;7,066;-1,202
"biological";5,679;-0,286;-5,064
"band";-0,19;3,341;-2,14
"awareness";0,424;-0,05;-0,282
"auggie";8,23;-2,559;-2,8
"audit";4,021;-3,642;-0,098
"attach";-3,054;-0,321;7,237
"ambassador";-9,356;0,757;7,237
"alcohol";-3,054;1,819;0,377
"ah";-3,054;7,759;-0,891
"absolute";-1,117;-2,648;9,116
"abroad";-0,19;-4,014;7,237
"1990s";-2,202;1,393;0,233
"zach";-12,771;30,631;-3,08
"whimo";23,12;-8,769;-6,256
"vessel";19,108;-8,769;-3,929
"unfortunate";-2,489;-3,642;15,544
"tyler";-12,771;36,624;-5,362
"twin";-4,609;8,005;-0,267
"tight";1,842;0,042;-3,361
"tier";11,215;-3,642;-3,644
"sphere";-0,884;-0,644;3,948
"smoke";-2,259;13,858;-5,064
"singapore";-3,281;-2,212;14,168
"shame";-4,773;10,657;-0,891
"schedule";1,316;0,131;-3,08
"russians";-1,276;-8,351;20,021
"resolve";-0,763;-1,093;4,714
"resilience";5,181;-0,644;-3,361
"rend";0;3,341;-3,929
"regional";-2,259;-4,545;16,78
"quit";14,415;-5,756;-3,644
"prototype";23,12;-8,769;-6,256
"protocol";11,253;-4,545;-2,8
"pollution";3,6;-7,098;0,403
"pioneer";4,021;0,003;-5,958
"physician";5,181;-0,09;-5,66
"pack";-4,102;0,297;3,293
"pacific";2,426;-3,642;0,048
"nigeria";-2,84;3,663;-0,005
"micro";14,415;-5,756;-3,644
"matt";-14,568;41,395;-5,958
"martin";-13,669;39,009;-5,66
"loser";0,438;-2,01;0,564
"league";-11,35;12,177;0,048
"january";-6,874;-0,008;10,3
"iranians";-19,097;-6,162;62,12
"intern";1,992;-2,559;0,003
"intention";-2,489;-3,642;15,544
"instrument";18,016;-5,756;-5,958
"inform";-2,489;8,993;-1,896
"incorporate";0,806;-1,706;0,122
"hunt";0,192;0,042;-0,55
"hop";-6,117;24,618;-5,958
"hardcore";-1,959;-1,706;9,478
"handful";1,231;0,003;-1,896
"habit";-11,874;22,917;-1,202
"gigantic";22,018;-8,351;-5,958
"friday";-14,568;41,395;-5,958
"foundational";5,181;-1,706;-1,658
"expectation";-1,959;-5,351;17,39
"equally";-3,281;1,577;0,625
"episode";-11,35;29,729;-3,644
"epis";12,301;-4,947;-3,08
"emotional";-0,231;4,919;-3,361
"due";-1,718;5,321;-0,891
"dense";12,301;-2,914;-5,362
"defect";7,261;-0,881;-4,766
"decent";4,778;-4,014;-0,18
"cu";1,721;0,153;-3,929
"creativity";1,721;0,757;-6,256
"covet";-4,773;1,819;1,283
"correlate";1,316;0,131;-3,08
"consume";2,426;-2,01;-0,098
"constitutional";-18,187;-3,642;50,898
"consistent";0,438;-2,01;0,564
"conduct";0,046;-0,859;0,564
"chase";-0,763;10,657;-6,256
"captain";-0,096;5,536;-4,766
"calculate";0,857;-4,545;1,468
"bud";-6,236;21,345;-4,17
"britain";-12,221;-2,324;33,699
"behave";-4,102;0,297;3,293
"atmosphere";13,661;-4,145;-4,766
"association";0,765;-0,008;-0,891
"appoint";-14,568;-8,351;58,772
"andy";-0,282;7,066;-5,064
"andre";-17,277;39,009;-3,361
"airplane";4,373;-0,452;-3,08
"agi";19,816;-7,516;-5,362
"accord";-17,277;2,94;9,478
"7th";-19,097;-2,324;46,832
"yard";6,311;-3,748;-0,784
"wipe";0,923;-6,263;2,47
"warrior";-10,482;10,4;0,122
"upper";-1,959;7,406;-1,658
"unprecedented";0,438;-8,351;5,507
"tour";1,992;0;-2,8
"tim";-8,762;18,104;-1,202
"throat";-1,276;-5,756;15,544
"tequila";-8,762;28,296;-5,064
"tendency";-10,482;0,042;13,136
"symbiosis";3,3;-1,706;-0,55
"submarine";1,316;-0,024;-1,426
"ski";0,923;0,805;-4,468
"sixth";-0,096;5,536;-4,766
"similarly";-2,489;0,003;3,293
"shot";0,041;-0,452;0,238
"secretly";2,426;-0,859;-0,714
"repair";0,456;0,773;-3,08
"regard";-4,654;0,131;4,709
"recommend";7,483;-5,351;-0,55
"realization";1,231;-0,19;-0,714
"rally";1,316;0,131;-3,08
"rail";1,316;-4,947;1,1
"protein";17,613;-6,68;-4,766
"proof";2,426;0,003;-3,644
"procedure";19,816;-7,516;-5,362
"polarize";-5,376;-1,706;17,39
"plug";7,483;-1,706;-3,361
"plenty";-4,102;15,842;-3,644
"ping";-4,102;-2,01;15,544
"phenomenal";0,438;-0,19;-0,098
"permission";1,231;-0,859;-0,098
"panic";-0,549;3,663;-1,426
"ontology";13,356;-3,275;-5,66
"observation";8,416;-3,642;-1,896
"nowadays";-0,282;-7,098;12,386
"needle";0,192;-1,706;0,802
"molecule";16,512;-6,263;-4,468
"mirror";-10,086;0,805;7,84
"maduro";-16,367;-7,516;60,486
"mac";2,867;-2,212;-0,159
"lifestyle";-6,117;1,073;3,293
"lee";-2,639;2,142;0,118
"landscape";3,3;-1,706;-0,55
"kosher";-7,425;22,37;-3,574
"justify";-4,654;0,131;4,709
"johnson";-8,533;8,993;0,048
"jerk";-0,072;-1,415;2,59
"iq";-3,955;2,54;0,403
"investigate";-1,276;-2,01;8,287
"invasion";-0,884;-7,934;17,39
"intervention";1,842;-3,275;0,122
"intent";-1,959;-0,644;6,415
"ingredient";0,806;-1,706;0,122
"hybrid";14,415;-5,756;-3,644
"hugely";0,192;0,042;-0,55
"hopeful";-13,669;13,901;0,122
"harass";2,621;-4,947;0,238
"graduation";-9,62;30,631;-5,362
"goldman";-11,874;22,917;-1,202
"gen";-0,884;7,406;-3,361
"fortunately";-11,35;-0,859;25,065
"forgive";0;1,467;-1,658
"foremost";-6,117;-3,642;25,065
"exponentially";14,415;-5,756;-3,644
"execution";7,261;-4,145;-0,987
"elephant";-4,587;10,007;-0,784
"discrimination";-15,458;0;21,839
"discriminate";-17,277;7,406;3,948
"dialectic";-9,62;15,863;-0,401
"devon";18,714;-7,098;-5,064
"depot";-2,84;15,863;-5,362
"deployment";6,57;-1,415;-3,08
"deliberate";-1,276;6,29;-1,896
"critique";-14,548;0,5;14,168
"criticism";-5,376;1,467;2,077
"craft";1,316;0,131;-3,08
"contact";4,021;-2,01;-0,714
"collaborate";-0,072;-0,024;0,238
"cheaply";22,018;-8,351;-5,958
"cat";7,483;-0,644;-5,66
"bot";0,456;1,95;-5,362
"beta";1,842;0,501;-5,66
"behalf";0,438;-0,859;0,048
"auto";16,925;-5,351;-5,66
"alliance";-12,771;-4,947;44,301
"adjudicate";10,208;-7,934;-0,55
"additional";7,483;-5,351;-0,55
"accessible";13,356;-3,275;-5,66
"zip";0,479;0,025;-0,987
"yale";-5,376;2,94;0,802
"whistle";-15,458;40,754;-5,064
"weaponized";3,3;-7,934;0,802
"wanna";-12,729;11,883;0,251
"utilize";1,316;-2,914;0,238
"trek";0,51;1,213;-4,17
"trait";-0,656;5,536;-2,523
"technologist";3,3;-0,09;-3,361
"subscribe";-0,011;1,748;-1,711
"statue";-10,979;25,969;-2,523
"southern";-4,654;8,692;-0,401
"soccer";-14,548;38,356;-4,766
"smith";-17,277;27,445;-0,55
"shake";-13,669;-0,09;22,24
"sentence";-6,123;2,54;1,468
"refugee";-3,85;-0,005;5,8
"recall";-0,231;0,501;-0,038
"radio";6,57;-1,415;-3,08
"queen";-12,771;15,863;-0,005
"prosecute";-9,62;-7,516;44,301
"propulsion";17,613;-6,68;-4,766
"propaganda";-11,874;-2,559;33,956
"presidential";-17,277;-0,09;27,685
"precision";18,714;-7,098;-5,064
"openness";-14,548;3,255;6,629
"obnoxious";-7,718;13,901;-0,55
"nervous";-1,959;0,501;0,802
"nearby";-0,884;4,919;-1,658
"mouth";0,456;1,95;-5,362
"mechanical";6,57;-0,452;-5,362
"manner";0;-0,09;0,122
"manipulate";1,316;-2,914;0,238
