"";"";"";"";"name";""
"1";"name";"-0.588962620589845";"0.643134864831546";"0.895662915003658";"84"
"2";"because";"-0.133640461328577";"-0.0888872160917929";"0.880924911127937";"97"
"3";"them";"-0.0817543525713536";"-0.158264825505169";"0.873072406668292";"111"
"4";"doing";"0.176364491808441";"0.0177514688711836";"0.869204386494013";"115"
"5";"always";"-0.333714893541561";"0.206629742943243";"0.866684526635952";"117"
"6";"they_re";"-0.0453013115445513";"-0.208669133986132";"0.866529241154503";"118"
"7";"are";"-0.0295341442123678";"-0.105494233870758";"0.86190949808139";"128"
"8";"us";"-0.187731771937616";"0.114885112630271";"0.858112062216861";"135"
"9";"like";"0.0499004975129729";"0.11768575640953";"0.857307401085715";"137"
"10";"can_t";"-0.178053169885377";"-0.286511059126974";"0.857063885217079";"138"
"11";"don_t";"-0.238272520833038";"-0.00550508450895163";"0.856629791712119";"139"
"12";"down";"0.241270426600969";"-0.0130998356395647";"0.854836950244478";"143"
"13";"but";"-0.0616111360693906";"-0.0592897924608321";"0.853622900116785";"147"
"14";"probably";"0.234668050599689";"0.0495336742314893";"0.852708833305527";"149"
"15";"been";"-0.234616791957413";"-0.0661252556261123";"0.852250035292155";"150"
"16";"next";"0.29767051271167";"0.0364030542125775";"0.851914759820844";"151"
"17";"example";"0.267052103585676";"-0.233958984790832";"0.850767764787413";"152"
"18";"get";"0.104402594919724";"-0.00639704478828907";"0.850570128720114";"154"
"19";"exactly";"0.258506414416126";"0.00484600246228362";"0.849878402484568";"156"
"20";"make";"0.102477163277155";"-0.128257064946909";"0.84986075640713";"157"
"21";"themselves";"-0.377509684721832";"-0.434616190402001";"0.84944077976412";"158"
"22";"almost";"0.365388392700576";"0.128093393949494";"0.84855847589225";"159"
"23";"it_s";"0.0519641779602971";"-0.0205070114369119";"0.84805379807754";"160"
"24";"obviously";"-0.0460529747377627";"-0.303314921200002";"0.846938565983496";"165"
"25";"does";"0.218242200831258";"-0.189266387066143";"0.84666681639096";"167"
"26";"do";"0.0700366517823656";"0.0325278501002273";"0.845615110175691";"170"
"27";"again";"-0.13919723258401";"-0.280488882955324";"0.845297480781818";"171"
"28";"with";"-0.0760045071137059";"0.106131922545711";"0.845018672758307";"175"
"29";"as";"-0.138011614924157";"-0.03912154332465";"0.843282298738466";"178"
"30";"looking";"0.352664101787062";"0.303823371883271";"0.840007186766084";"182"
"31";"every";"0.208456555992087";"0.0683093423513117";"0.839947190102797";"183"
"32";"let_s";"-0.166132853869696";"0.235871731846642";"0.838482565675492";"185"
"33";"other";"-0.0581157313801255";"-0.154221878097764";"0.837879069827133";"187"
"34";"certain";"-0.0616841637818579";"-0.409636850500642";"0.837702609052759";"188"
"35";"lot";"-0.10408690709668";"0.0884734145634288";"0.835098048022998";"192"
"36";"had";"-0.064234466757085";"0.160287730850388";"0.834794535491074";"193"
"37";"after";"-0.404993846761584";"-0.0217957217125612";"0.831526481949667";"203"
"38";"sometimes";"-0.406599346019659";"0.189667197616665";"0.828685463482245";"211"
"39";"our";"-0.130233777135321";"0.0778377639331822";"0.828516061138846";"213"
"40";"along";"-0.3535347777409";"-0.310043884832309";"0.828463122906534";"214"
"41";"course";"-0.0854397170789105";"-0.26453536726392";"0.828000795677674";"217"
"42";"trying";"-0.0958681261725908";"-0.173656684873328";"0.826850271428755";"222"
"43";"everyone";"-0.352348058771645";"-0.0124226297439711";"0.825996201280784";"223"
"44";"i_d";"-0.34510745516799";"0.255285138870968";"0.825802094428973";"224"
"45";"anybody";"-0.444126730663691";"-0.45237993434211";"0.825745626981173";"225"
"46";"particularly";"-0.314492988567994";"-0.414397832340041";"0.823472812207236";"229"
"47";"saw";"-0.249981073824282";"-0.186516891890885";"0.822152885614918";"231"
