"";"";"";"";"*video=Ep_80_Leonard_Leo_Knows_How_to_Win_and_How_to_Save_Our_Country_Qh6Y43e02vYen";""
"36";"*video=Kimmy_Scotti_How_to_Spot_and_Build_the_Next_Big_Thing_MFtexGKDeVEen";"1.29666448546784";"0.405825901594018";"1.2548107646305";"62"
"37";"*video=Sal_Churi_Keri_Findley_and_Wesley_Chan_Innovators_Changing_Our_World_Right_Now_9WYqRab7ysIen";"1.10998098957097";"0.102452153879332";"1.25248640182258";"63"
"38";"*video=Palantir_Co-Founder_on_the_Next_Generation_of_Warfare_RsaoH4knEA8en";"1.52519599817761";"-0.509748056564232";"1.23581489391998";"64"
"39";"*video=Ep_55_Nathan_Mintz_on_Directed_Energy_a_New_Space_Age__the_Final_Hurdles_to_a_Driverless_Future_9SewQ5XabFgen";"1.27814361824581";"0.17964601248074";"1.22832806492952";"65"
"40";"*video=Zach_Latta_Founding_Hack_Club__Inspiring_the_Next_Generation_of_Builders_PaB5ltDmD0Qen";"-0.42520604985672";"1.49456374666372";"1.22500754663249";"66"
"41";"*video=How_200MPH_Flying_Cars_are_about_to_Change_the_World_TVg_DK8-kMwen";"1.17884548542179";"0.428196626875256";"1.22443115477716";"67"
"42";"*video=Ep_66_Bob_McGrew__the_Superstar_Palantir_Alum_Leading_OpenAIs_Transformative_Research_Projects_SeAaxSJ8v6Men";"1.08105306172261";"0.297905987797484";"1.22369813470027";"68"
"43";"*video=How_Founder_Ken_Langone_Turned_Home_Depot_Into_A_400_Billion_Empire_t65qijV0nPcen";"-0.692276586247741";"1.18266523180371";"1.21697565143101";"69"
"44";"*video=Discovering_Life-Saving_Drugs_from_Fungi_BTpYV9Zsikken";"1.47404208171908";"0.27852133000483";"1.20132535953296";"70"
"45";"*video=5_Expert_Predictions_The_Future_of_Artificial_Intelligence_NcKVW3r_YJQen";"1.00687805425911";"-0.076932694894799";"1.19889448953439";"71"
"46";"*video=Joe_Lonsdale_and_Chris_Sprowls_How_to_Defeat_Special_Interests__Cronyism_fUL_jVCeGYEen";"-1.20455031588402";"-0.700664166924253";"1.19526697992311";"72"
"47";"*video=Secrets_Of_Investing_Early__Lessons_From_A_Billion-Dollar_Investor_QzjIfkNAp8Uen";"0.952416774084536";"0.550737005634502";"1.18026199629788";"73"
"48";"*video=Why_The_Next_Financial_Lockdown_Could_Be_Worse_Than_The_1930s_U27BrPBlP0gen";"-0.981031810850589";"-2.23147660313455";"1.17646532820732";"74"
"49";"*video=Ep_71_No_Debt_Top_Professors__Personal_Coaches__A_New_Community_College_with_Tade_Oyerinde_bOJemB__Mpwen";"-0.372421118087807";"1.43909445568716";"1.1722802221273";"75"
"50";"*video=Ep_50_Troy_Carter_on_Discovering_Lady_Gaga_Future_of_Music_and_Speaking_Out_on_School_Choice_gOwzF0CLHwwen";"-0.908103936913254";"1.08641500288198";"1.17135298305567";"76"
"51";"*video=Ep_68_Are_High_Interest_Rates__Inflation_Here_to_Stay_How_to_Generate_Alpha_with_Jacob_Miller_2_7ceKkWYOIen";"1.23894465401907";"0.305353899304551";"1.17018140395842";"77"
"52";"*video=Billionaire_Investor_This_is_the_Most_Undervalued_AI_Opportunity_ELj2LLNP8Aken";"1.92158338517388";"-0.0348611876766174";"1.16716161184679";"78"
"53";"*video=Niall_Ferguson_Why_Great_Civilizations_Rise_and_Fall_cAdUdrDaAqAen";"-0.932863630198177";"-1.07803803270419";"1.12688936351986";"79"
"54";"*video=Former_DC_Mayor_Adrian_Fenty_Courage_Accountability_Better_Schools_and_Safer_Cities_5L5hHQyziO0en";"-0.988621577712163";"1.20851948902173";"1.12465271251602";"80"
"55";"*video=How_to_Use_AI_in_2026_Opendoor_Founders_Advice_m8y0ftEmbkYen";"1.00795726699269";"0.64798227289398";"1.12220304713086";"81"
"56";"*video=Dont_Ban_CRT_Win_With_Better_Ideas_Thomas_Chatterton_Williams_Talks_Race__Liberalism_aU7gy13l6j4en";"-1.46606348816938";"-0.308098659617025";"1.11083183824576";"82"
"57";"*video=Ep_52_Yitz_Applbaum_and_a_Modern_Middle_East_Renaissance_7-7ZYcCjxjMen";"-0.635977008558434";"1.00972436793411";"1.11046219564289";"83"
"58";"*video=Tucker_Shapiro__The_New_RightDave_Rubin_Calls_for_an_Honest_Debate_w1FRqBOxS8gen";"-1.26071348506787";"-0.103177657994545";"1.10481104940908";"85"
"59";"*video=Ep_61_High_School_Dropout_to_Billion-Dollar_Startup_the_Story_of_Guillermo_Rauch__Vercel_UhctkmjffsUen";"0.987217167736825";"0.484417025927486";"1.08984992168589";"86"
"60";"*video=Why_this_Billionaire_Just_Took_Over_NASA_gCik1Ak6WVcen";"0.947919680870794";"0.245955679460403";"1.08650434287342";"87"
"61";"*video=Legendary_iPod__iPhone_Creator_Tony_Fadell_Shares_His_Design_Secrets_TAs1OU-GZCMen";"0.970778691245302";"0.568194849839811";"1.08111006692297";"88"
"62";"*video=The_Billion-Dollar_Tech_Idea_That_Started_in_a_Camper_2YD6zoNnBOwen";"1.97477995022471";"0.0230523119658709";"1.0771818311263";"89"
"63";"*video=Why_Billionaires_Use_This_2000-Year-Old_Mindset_lPFtfXIJlo0en";"-1.8066263805095";"1.43688881745099";"1.07317214865442";"90"
"64";"*video=Dr_Rick_Klausner_Curing_Cancer_Reprogramming_Cells_and_the_Incredible_Biotech_Revolution_5kFxWiL1Q2Aen";"1.12968683599422";"0.304115037039444";"1.07077886942902";"91"
"65";"*video=Ep_62_Ben_Rubenstein_Says_Resumes_Are_Useless_Heres_How_to_Find_the_Best_Salespeople_MWG9uaUaGroen";"0.987050554870863";"0.555753316322402";"1.05964573544069";"92"
"66";"*video=What_He_Learned_Working_Side_by_Side_with_Elon_Musk_NaG0PGvfX6sen";"1.77822854301473";"-0.0633632313430623";"1.05765968959134";"93"
"67";"*video=Former_Canadian_Prime_Minister_How_to_Save_Western_Civilization_lb0b4utSxiQen";"-1.95652340774652";"-1.14258413382747";"1.0545584508045";"94"
"68";"*video=AI_Will_Replace_These_Jobs_First_A_Warning_From_OpenAIs_Chief_Of_Research_sJE1dE2dulgen";"1.82153827899974";"-0.118087300158884";"1.05240951160473";"95"
"69";"*video=6_Levels_of_AI_Investing_Everyone_Should_Know_nZuDFOEMqpQen";"1.60502271546935";"0.015911101839057";"1.04909525843657";"96"
"70";"*video=6_Hard_Truths_for_Building_Startups_From_a_Billionaire_E7qzohsrciUen";"1.24941429077443";"0.178669024832435";"1.04549280934074";"97"
"71";"*video=Billionaire_Founder_of_KIND__Shark_Tank_Star_Daniel_Lubetzky_e9mWJy2RjtEen";"-1.25303978828324";"0.516659620930801";"1.04323109782144";"98"
"72";"*video=Ep_81_How_Palantir_Star_Tyler_Scriven_Is_Helping_Small_Business_Compete_With_Amazon_SkY_gUUH8Kcen";"-0.15064050681021";"1.31347579510019";"1.04286772034743";"99"
"73";"*video=Ep_58_Private_Markets_Outperform_Public_But_Theyre_a_Mess_Eliot_Hodges_Is_Fixing_That_sCo2Jawr24Een";"1.12823141709961";"0.472301680240882";"1.04281133418767";"100"
